time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-06-08T10:47:20.940Z,-2.5613,67.942,10,5.1,mb,,28,6.587,0.95,us,us20002mwk,2015-06-08T18:49:52.519Z,"Carlsberg Ridge",earthquake
2015-06-08T10:13:10.290Z,-36.2474,-100.5441,33.8,4.7,mb,,94,23.84,0.59,us,us20002mwj,2015-06-08T18:15:49.680Z,"Southeast of Easter Island",earthquake
2015-06-08T10:11:57.470Z,13.1177,145.9385,50.22,4.9,mb,,211,1.142,1.31,us,us20002mwh,2015-06-08T18:14:29.091Z,"122km ESE of Yigo Village, Guam",earthquake
2015-06-08T10:00:44.590Z,19.4156667,-155.634,3.84,2.74,ml,43,150,0.0142,0.1,hv,hv60955771,2015-06-08T22:10:24.734Z,"24km E of Honaunau-Napoopoo, Hawaii",earthquake
2015-06-08T07:06:24.070Z,31.6175,-116.0356667,6.42,2.5,ml,15,184,0.7505,0.24,ci,ci37395424,2015-06-08T19:16:52.271Z,"52km ESE of Maneadero, B.C., MX",earthquake
2015-06-08T06:36:36.160Z,2.4663,128.2601,140.71,4.6,mb,,129,1.905,1.08,us,us20002mvs,2015-06-08T14:39:16.929Z,"86km NNE of Tobelo, Indonesia",earthquake
2015-06-08T06:01:08.370Z,41.5324,142.0004,47,6.1,mwb,,67,0.99,1.04,us,us20002mvq,2015-06-09T14:59:04.000Z,"70km ENE of Mutsu, Japan",earthquake
2015-06-08T05:34:46.700Z,17.4601,-63.5615,157,3.7,Md,6,316.8,1.38340554,0.25,pr,pr15159000,2015-06-08T13:37:27.636Z,"37km WSW of The Bottom, Bonaire, Saint Eustatius and Saba ",earthquake
2015-06-08T05:08:23.410Z,-24.7053,179.8393,522.95,4.4,mb,,119,7.123,0.73,us,us20002mvj,2015-06-08T13:10:59.186Z,"South of the Fiji Islands",earthquake
2015-06-08T04:28:16.110Z,37.2353,-97.9531,6.24,3.4,mb_lg,,75,0.016,0.21,us,us20002mv8,2015-06-09T03:24:08.138Z,"8km SE of Harper, Kansas",earthquake
2015-06-08T03:28:12.350Z,36.5034,70.7731,198.44,4.4,mb,,79,0.64,0.8,us,us20002mv5,2015-06-08T11:30:49.723Z,"40km S of Jarm, Afghanistan",earthquake
2015-06-08T01:32:50.470Z,-24.2461,-67.3316,186.98,4.5,mb,,207,2.179,0.99,us,us20002mul,2015-06-08T09:35:21.064Z,"102km W of San Antonio de los Cobres, Argentina",earthquake
2015-06-07T21:14:06.100Z,-29.0315,-67.3224,11.62,5,mb,,43,2.71,1.09,us,us20002mty,2015-06-08T00:05:29.443Z,"22km NE of Chilecito, Argentina",earthquake
2015-06-07T20:34:40.000Z,63.9245,-148.9136,2.5,2.5,ml,,,,0.42,ak,ak11619857,2015-06-08T04:37:16.623Z,"7km NNE of Healy, Alaska",earthquake
2015-06-07T20:20:25.950Z,36.8465,-97.7934,5,3.3,mb_lg,,71,0.053,0.37,us,us20002mtp,2015-06-08T23:33:00.725Z,"6km NW of Medford, Oklahoma",earthquake
2015-06-07T20:20:10.420Z,36.8408,-97.8169,5.57,2.7,ml,,46,0.035,0.29,us,us20002n4l,2015-06-08T23:35:57.091Z,"8km WNW of Medford, Oklahoma",earthquake
2015-06-07T19:59:41.500Z,18.0993,-66.5302,17,2.6,Md,16,68.4,0.05210229,0.25,pr,pr15158003,2015-06-08T04:02:19.255Z,"3km WNW of Guayabal, Puerto Rico",earthquake
2015-06-07T19:48:17.700Z,18.8661,-64.4489,39,3,Md,15,262.8,0.17517148,0.11,pr,pr15158002,2015-06-08T03:51:07.442Z,"52km NNE of Road Town, British Virgin Islands",earthquake
2015-06-07T19:29:06.080Z,26.5704,126.1878,136.14,4.7,mb,,103,1.883,1.1,us,us20002mt6,2015-06-08T03:31:34.263Z,"154km WNW of Naha-shi, Japan",earthquake
2015-06-07T18:06:46.010Z,1.5836,-90.7599,10,5,mb,,156,2.292,1.33,us,us20002mss,2015-06-08T02:09:28.663Z,"260km N of Puerto Ayora, Ecuador",earthquake
2015-06-07T17:15:20.870Z,35.6938,-97.4193,5,3.2,mb_lg,,42,0.106,0.35,us,us20002ms9,2015-06-08T23:33:28.414Z,"7km NE of Edmond, Oklahoma",earthquake
2015-06-07T17:14:18.000Z,59.7509,-153.5602,126.1,2.7,ml,,,,0.68,ak,ak11619786,2015-06-08T01:16:58.108Z,"76km E of Old Iliamna, Alaska",earthquake
2015-06-07T17:01:06.940Z,33.788,-116.1728333,3.37,2.91,ml,71,60,0.04148,0.17,ci,ci37395032,2015-06-08T21:13:51.840Z,"8km NNE of Indio, California",earthquake
2015-06-07T16:49:38.210Z,11.9966,143.9874,35,4.8,mb,,61,1.801,0.68,us,us20002ms0,2015-06-08T14:15:44.725Z,"158km SSW of Merizo Village, Guam",earthquake
2015-06-07T16:36:55.120Z,36.2024,-97.3397,3.85,2.6,mb_lg,,59,0.415,0.54,us,us20002mrx,2015-06-07T17:34:30.790Z,"10km SSW of Perry, Oklahoma",earthquake
